,,,,,,
,(In ₹ Crores),,,,,
,,, Budget Estimates2026-2027 ,,,
,,,Revenue,Capital,Total,Page No
,Ministry of Agriculture and Farmers Welfare,,140416.57,112.21,140528.78,
,1. ,Department of Agriculture and Farmers Welfare,130451.62,109.76,130561.38,1-6       
,2. ,Department of Agricultural Research and Education,9964.95,2.45,9967.4,7-9       
,Department of Atomic Energy,,14157.51,9966.41,24123.92,
,3. ,Atomic Energy,14157.51,9966.41,24123.92,10-15     
,Ministry of AYUSH,,4381.86,27.07,4408.93,
,4. ,Ministry of Ayush,4381.86,27.07,4408.93,16-19     
,Ministry of Chemicals and Fertilisers,,177049.76,11.71,177061.47,
,5. ,Department of Chemicals and Petrochemicals,184.7,1.02,185.72,20-21     
,6. ,Department of Fertilisers,170935.64,8.89,170944.53,22-24     
,7. ,Department of Pharmaceuticals,5929.42,1.8,5931.22,25-28     
,Ministry of Civil Aviation,,2057.87,45,2102.87,
,8. ,Ministry of Civil Aviation,2057.87,45,2102.87,29-31     
,Ministry of Coal,,3633.12,2.2,3635.32,
,9. ,Ministry of Coal,3633.12,2.2,3635.32,32-33     
,Ministry of Commerce and Industry,,12677.46,5166.44,17843.9,
,10. ,Department of Commerce,5825.76,47.31,5873.07,34-37     
,11. ,Department for Promotion of Industry and Internal Trade,6851.7,5119.13,11970.83,38-42     
,Ministry of Communications,,53742.59,48524.43,102267.02,
,12. ,Department of Posts,27026.57,1249.51,28276.08,43-44     
,13. ,Department of Telecommunications,26716.02,47274.92,73990.94,45-50     
,Ministry of Consumer Affairs Food and Public Distribution,,239405.33,116.04,239521.37,
,14. ,Department of Consumer Affairs,4380.75,93.42,4474.17,51-53     
,15. ,Department of Food and Public Distribution,235024.58,22.62,235047.2,54-56     
,Ministry of Cooperation,,1742.84,1.9,1744.74,
,16. ,Ministry of Cooperation,1742.84,1.9,1744.74,57-58     
,Ministry of Corporate Affairs,,5506.24,55.62,5561.86,
,17. ,Ministry of Corporate Affairs,5506.24,55.62,5561.86,59-61     
,Ministry of Culture,,3216.63,200,3416.63,
,18. ,Ministry of Culture,3216.63,200,3416.63,62-64     
,Ministry of Defence,,553668.56,231009.72,784678.28,
,19. ,Ministry of Defence (Civil),16851.36,11703.25,28554.61,65-68     
,20. ,Defence Services (Revenue),365478.98,0,365478.98,69-71     
,21. ,Capital Outlay on Defence Services,0,219306.47,219306.47,72-73     
,22. ,Defence Pensions,171338.22,0,171338.22,74-74     
,Ministry of Development of North Eastern Region,,2247.7,4564.6,6812.3,
,23. ,Ministry of Development of North Eastern Region,2247.7,4564.6,6812.3,75-77     
,Ministry of Earth Sciences,,3073.19,716.04,3789.23,
,24. ,Ministry of Earth Sciences,3073.19,716.04,3789.23,78-80     
,Ministry of Education,,139285.95,3.53,139289.48,
,25. ,Department of School Education and Literacy,83561.41,0.85,83562.26,81-84     
,26. ,Department of Higher Education,55724.54,2.68,55727.22,85-93     
,Ministry of Electronics and Information Technology,,21234.15,398.81,21632.96,
,27. ,Ministry of Electronics and Information Technology,21234.15,398.81,21632.96,94-98     
,Ministry of Environment Forests and Climate Change,,3536.66,222.8,3759.46,
,28. ,Ministry of Environment Forests and Climate Change,3536.66,222.8,3759.46,99-103    
,Ministry of External Affairs,,20706.2,1412.77,22118.97,
,29. ,Ministry of External Affairs,20706.2,1412.77,22118.97,104-106   
,Ministry of Finance,,1722326.88,250182.6,1972509.48,
,30. ,Department of Economic Affairs,4249.65,16309.46,20559.11,107-112   
,31. ,Department of Expenditure,451.4,74.13,525.53,113-114   
,32. ,Department of Financial Services,3686.99,59.96,3746.95,115-117   
,33. ,Department of Public Enterprises,28.94,0.66,29.6,118-119   
,34. ,Department of Investment and Public Asset Management (DIPAM),54.25,1.67,55.92,120-120   
,35. ,Department of Revenue,1915.31,597.71,2513.02,121-123   
,36. ,Direct Taxes,10320.12,4984.45,15304.57,124-125   
,37. ,Indirect Taxes,26076.63,1606,27682.63,126-127   
,38. ,Indian Audit and Accounts Department,6270.19,166.65,6436.84,128-129   
,39. ,Interest Payments,1403971.79,0,1403971.79,130-131   
,40. ,Repayment of Debt,0,0,0,132-133   
,41. ,Pensions,97500,0,97500,134-135   
,42. ,Transfers to States,167801.61,226381.91,394183.52,136-138   
,Ministry of Fisheries Animal Husbandry and Dairying,,8438.22,477.04,8915.26,
,43. ,Department of Fisheries,2732.27,29.53,2761.8,139-140   
,44. ,Department of Animal Husbandry and Dairying,5705.95,447.51,6153.46,141-144   
,Ministry of Food Processing Industries,,4061.43,2.73,4064.16,
,45. ,Ministry of Food Processing Industries,4061.43,2.73,4064.16,145-146   
,Ministry of Health and Family Welfare,,103600.31,2930.11,106530.42,
,46. ,Department of Health and Family Welfare,98780.91,2928.3,101709.21,147-155   
,47. ,Department of Health Research,4819.4,1.81,4821.21,156-157   
,Ministry of Heavy Industries ,,7937.08,2.82,7939.9,
,48. ,Ministry of Heavy Industries,7937.08,2.82,7939.9,158-160   
,Ministry of Home Affairs,,228146.77,27086.76,255233.53,
,49. ,Ministry of Home Affairs,9878.54,508.81,10387.35,161-164   
,50. ,Cabinet,992.32,109.68,1102,165-166   
,51. ,Police,152530.06,21272.47,173802.53,167-172   
,52. ,Andaman and Nicobar Islands,6083.08,597.86,6680.94,173-180   
,53. ,Chandigarh,5275.15,445.02,5720.17,181-185   
,54. ,Dadra and Nagar Haveli and Daman and Diu,1732.7,1100,2832.7,186-191   
,55. ,Ladakh,2542.26,2327.05,4869.31,192-197   
,56. ,Lakshadweep,1336.49,345.86,1682.35,198-202   
